Parameter Name,NRPN Layer A,NRPN Layer B,Byte Layer A,Min Val,Max Val,Display Offset,Options,Path,Notes,
Sequencer Step 7 Note 2,410,2458,390,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 8 Note 2,411,2459,391,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 9 Note 2,412,2460,392,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 10 Note 2,413,2461,393,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 11 Note 2,414,2462,394,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 12 Note 2,415,2463,395,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 13 Note 2,416,2464,396,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 14 Note 2,417,2465,397,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 15 Note 2,418,2466,398,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 16 Note 2,419,2467,399,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 17 Note 2,420,2468,400,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 18 Note 2,421,2469,401,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 19 Note 2,422,2470,402,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 20 Note 2,423,2471,403,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 21 Note 2,424,2472,404,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 22 Note 2,425,2473,405,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 23 Note 2,426,2474,406,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 24 Note 2,427,2475,407,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 25 Note 2,428,2476,408,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 26 Note 2,429,2477,409,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 27 Note 2,430,2478,410,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 28 Note 2,431,2479,411,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 29 Note 2,432,2480,412,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 30 Note 2,433,2481,413,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 31 Note 2,434,2482,414,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 32 Note 2,435,2483,415,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 33 Note 2,436,2484,416,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 34 Note 2,437,2485,417,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 35 Note 2,438,2486,418,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 36 Note 2,439,2487,419,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 37 Note 2,440,2488,420,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 38 Note 2,441,2489,421,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 39 Note 2,442,2490,422,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 40 Note 2,443,2491,423,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 41 Note 2,444,2492,424,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 42 Note 2,445,2493,425,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 43 Note 2,446,2494,426,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 44 Note 2,447,2495,427,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 45 Note 2,448,2496,428,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 46 Note 2,449,2497,429,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 47 Note 2,450,2498,430,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 48 Note 2,451,2499,431,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 49 Note 2,452,2500,432,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 50 Note 2,453,2501,433,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 51 Note 2,454,2502,434,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 52 Note 2,455,2503,435,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 53 Note 2,456,2504,436,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 54 Note 2,457,2505,437,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 55 Note 2,458,2506,438,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 56 Note 2,459,2507,439,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 57 Note 2,460,2508,440,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 58 Note 2,461,2509,441,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 59 Note 2,462,2510,442,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 60 Note 2,463,2511,443,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 61 Note 2,464,2512,444,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 62 Note 2,465,2513,445,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 63 Note 2,466,2514,446,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 64 Note 2,467,2515,447,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 1 Velocity 2,468,2516,448,128,255,,,,128=Rest,
Sequencer Step 2 Velocity 2,469,2517,449,128,255,,,,128=Rest,
Sequencer Step 3 Velocity 2,470,2518,450,128,255,,,,128=Rest,
Sequencer Step 4 Velocity 2,471,2519,451,128,255,,,,128=Rest,
Sequencer Step 5 Velocity 2,472,2520,452,128,255,,,,128=Rest,
Sequencer Step 6 Velocity 2,473,2521,453,128,255,,,,128=Rest,
Sequencer Step 7 Velocity 2,474,2522,454,128,255,,,,128=Rest,
Sequencer Step 8 Velocity 2,475,2523,455,128,255,,,,128=Rest,
Sequencer Step 9 Velocity 2,476,2524,456,128,255,,,,128=Rest,
Sequencer Step 10 Velocity 2,477,2525,457,128,255,,,,128=Rest,
Sequencer Step 11 Velocity 2,478,2526,458,128,255,,,,128=Rest,
Sequencer Step 12 Velocity 2,479,2527,459,128,255,,,,128=Rest,
Sequencer Step 13 Velocity 2,480,2528,460,128,255,,,,128=Rest,
Sequencer Step 14 Velocity 2,481,2529,461,128,255,,,,128=Rest,
Sequencer Step 15 Velocity 2,482,2530,462,128,255,,,,128=Rest,
Sequencer Step 16 Velocity 2,483,2531,463,128,255,,,,128=Rest,
Sequencer Step 17 Velocity 2,484,2532,464,128,255,,,,128=Rest,
Sequencer Step 18 Velocity 2,485,2533,465,128,255,,,,128=Rest,
Sequencer Step 19 Velocity 2,486,2534,466,128,255,,,,128=Rest,
Sequencer Step 20 Velocity 2,487,2535,467,128,255,,,,128=Rest,
Sequencer Step 21 Velocity 2,488,2536,468,128,255,,,,128=Rest,
Sequencer Step 22 Velocity 2,489,2537,469,128,255,,,,128=Rest,
Sequencer Step 23 Velocity 2,490,2538,470,128,255,,,,128=Rest,
Sequencer Step 24 Velocity 2,491,2539,471,128,255,,,,128=Rest,
Sequencer Step 25 Velocity 2,492,2540,472,128,255,,,,128=Rest,
Sequencer Step 26 Velocity 2,493,2541,473,128,255,,,,128=Rest,
Sequencer Step 27 Velocity 2,494,2542,474,128,255,,,,128=Rest,
Sequencer Step 28 Velocity 2,495,2543,475,128,255,,,,128=Rest,
Sequencer Step 29 Velocity 2,496,2544,476,128,255,,,,128=Rest,
Sequencer Step 30 Velocity 2,497,2545,477,128,255,,,,128=Rest,
Sequencer Step 31 Velocity 2,498,2546,478,128,255,,,,128=Rest,
Sequencer Step 32 Velocity 2,499,2547,479,128,255,,,,128=Rest,
Sequencer Step 33 Velocity 2,500,2548,480,128,255,,,,128=Rest,
Sequencer Step 34 Velocity 2,501,2549,481,128,255,,,,128=Rest,
Sequencer Step 35 Velocity 2,502,2550,482,128,255,,,,128=Rest,
Sequencer Step 36 Velocity 2,503,2551,483,128,255,,,,128=Rest,
Sequencer Step 37 Velocity 2,504,2552,484,128,255,,,,128=Rest,
Sequencer Step 38 Velocity 2,505,2553,485,128,255,,,,128=Rest,
Sequencer Step 39 Velocity 2,506,2554,486,128,255,,,,128=Rest,
Sequencer Step 40 Velocity 2,507,2555,487,128,255,,,,128=Rest,
Sequencer Step 41 Velocity 2,508,2556,488,128,255,,,,128=Rest,
Sequencer Step 42 Velocity 2,509,2557,489,128,255,,,,128=Rest,
Sequencer Step 43 Velocity 2,510,2558,490,128,255,,,,128=Rest,
Sequencer Step 44 Velocity 2,511,2559,491,128,255,,,,128=Rest,
Sequencer Step 45 Velocity 2,512,2560,492,128,255,,,,128=Rest,
Sequencer Step 46 Velocity 2,513,2561,493,128,255,,,,128=Rest,
Sequencer Step 47 Velocity 2,514,2562,494,128,255,,,,128=Rest,
Sequencer Step 48 Velocity 2,515,2563,495,128,255,,,,128=Rest,
Sequencer Step 49 Velocity 2,516,2564,496,128,255,,,,128=Rest,
Sequencer Step 50 Velocity 2,517,2565,497,128,255,,,,128=Rest,
Sequencer Step 51 Velocity 2,518,2566,498,128,255,,,,128=Rest,
Sequencer Step 52 Velocity 2,519,2567,499,128,255,,,,128=Rest,
Sequencer Step 53 Velocity 2,520,2568,500,128,255,,,,128=Rest,
Sequencer Step 54 Velocity 2,521,2569,501,128,255,,,,128=Rest,
Sequencer Step 55 Velocity 2,522,2570,502,128,255,,,,128=Rest,
Sequencer Step 56 Velocity 2,523,2571,503,128,255,,,,128=Rest,
Sequencer Step 57 Velocity 2,524,2572,504,128,255,,,,128=Rest,
Sequencer Step 58 Velocity 2,525,2573,505,128,255,,,,128=Rest,
Sequencer Step 59 Velocity 2,526,2574,506,128,255,,,,128=Rest,
Sequencer Step 60 Velocity 2,527,2575,507,128,255,,,,128=Rest,
Sequencer Step 61 Velocity 2,528,2576,508,128,255,,,,128=Rest,
Sequencer Step 62 Velocity 2,529,2577,509,128,255,,,,128=Rest,
Sequencer Step 63 Velocity 2,530,2578,510,128,255,,,,128=Rest,
Sequencer Step 64 Velocity 2,531,2579,511,128,255,,,,128=Rest,
Sequencer Step 1 Note 3,532,2580,512,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 2 Note 3,533,2581,513,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 3 Note 3,534,2582,514,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 4 Note 3,535,2583,515,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 5 Note 3,536,2584,516,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 6 Note 3,537,2585,517,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 7 Note 3,538,2586,518,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 8 Note 3,539,2587,519,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 9 Note 3,540,2588,520,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 10 Note 3,541,2589,521,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 11 Note 3,542,2590,522,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 12 Note 3,543,2591,523,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 13 Note 3,544,2592,524,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 14 Note 3,545,2593,525,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 15 Note 3,546,2594,526,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 16 Note 3,547,2595,527,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 17 Note 3,548,2596,528,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 18 Note 3,549,2597,529,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 19 Note 3,550,2598,530,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 20 Note 3,551,2599,531,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 21 Note 3,552,2600,532,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 22 Note 3,553,2601,533,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 23 Note 3,554,2602,534,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 24 Note 3,555,2603,535,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 25 Note 3,556,2604,536,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 26 Note 3,557,2605,537,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 27 Note 3,558,2606,538,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 28 Note 3,559,2607,539,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 29 Note 3,560,2608,540,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 30 Note 3,561,2609,541,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 31 Note 3,562,2610,542,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 32 Note 3,563,2611,543,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 33 Note 3,564,2612,544,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 34 Note 3,565,2613,545,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 35 Note 3,566,2614,546,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 36 Note 3,567,2615,547,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 37 Note 3,568,2616,548,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 38 Note 3,569,2617,549,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 39 Note 3,570,2618,550,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 40 Note 3,571,2619,551,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 41 Note 3,572,2620,552,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 42 Note 3,573,2621,553,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 43 Note 3,574,2622,554,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 44 Note 3,575,2623,555,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 45 Note 3,576,2624,556,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 46 Note 3,577,2625,557,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 47 Note 3,578,2626,558,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 48 Note 3,579,2627,559,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 49 Note 3,580,2628,560,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 50 Note 3,581,2629,561,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 51 Note 3,582,2630,562,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 52 Note 3,583,2631,563,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 53 Note 3,584,2632,564,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 54 Note 3,585,2633,565,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 55 Note 3,586,2634,566,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 56 Note 3,587,2635,567,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 57 Note 3,588,2636,568,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 58 Note 3,589,2637,569,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 59 Note 3,590,2638,570,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 60 Note 3,591,2639,571,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 61 Note 3,592,2640,572,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 62 Note 3,593,2641,573,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 63 Note 3,594,2642,574,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 64 Note 3,595,2643,575,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 1 Velocity 3,596,2644,576,128,255,,,,128=Rest,
Sequencer Step 2 Velocity 3,597,2645,577,128,255,,,,128=Rest,
Sequencer Step 3 Velocity 3,598,2646,578,128,255,,,,128=Rest,
Sequencer Step 4 Velocity 3,599,2647,579,128,255,,,,128=Rest,
Sequencer Step 5 Velocity 3,600,2648,580,128,255,,,,128=Rest,
Sequencer Step 6 Velocity 3,601,2649,581,128,255,,,,128=Rest,
Sequencer Step 7 Velocity 3,602,2650,582,128,255,,,,128=Rest,
Sequencer Step 8 Velocity 3,603,2651,583,128,255,,,,128=Rest,
Sequencer Step 9 Velocity 3,604,2652,584,128,255,,,,128=Rest,
Sequencer Step 10 Velocity 3,605,2653,585,128,255,,,,128=Rest,
Sequencer Step 11 Velocity 3,606,2654,586,128,255,,,,128=Rest,
Sequencer Step 12 Velocity 3,607,2655,587,128,255,,,,128=Rest,
Sequencer Step 13 Velocity 3,608,2656,588,128,255,,,,128=Rest,
Sequencer Step 14 Velocity 3,609,2657,589,128,255,,,,128=Rest,
Sequencer Step 15 Velocity 3,610,2658,590,128,255,,,,128=Rest,
Sequencer Step 16 Velocity 3,611,2659,591,128,255,,,,128=Rest,
Sequencer Step 17 Velocity 3,612,2660,592,128,255,,,,128=Rest,
Sequencer Step 18 Velocity 3,613,2661,593,128,255,,,,128=Rest,
Sequencer Step 19 Velocity 3,614,2662,594,128,255,,,,128=Rest,
Sequencer Step 20 Velocity 3,615,2663,595,128,255,,,,128=Rest,
Sequencer Step 21 Velocity 3,616,2664,596,128,255,,,,128=Rest,
Sequencer Step 22 Velocity 3,617,2665,597,128,255,,,,128=Rest,
Sequencer Step 23 Velocity 3,618,2666,598,128,255,,,,128=Rest,
Sequencer Step 24 Velocity 3,619,2667,599,128,255,,,,128=Rest,
Sequencer Step 25 Velocity 3,620,2668,600,128,255,,,,128=Rest,
Sequencer Step 26 Velocity 3,621,2669,601,128,255,,,,128=Rest,
Sequencer Step 27 Velocity 3,622,2670,602,128,255,,,,128=Rest,
Sequencer Step 28 Velocity 3,623,2671,603,128,255,,,,128=Rest,
Sequencer Step 29 Velocity 3,624,2672,604,128,255,,,,128=Rest,
Sequencer Step 30 Velocity 3,625,2673,605,128,255,,,,128=Rest,
Sequencer Step 31 Velocity 3,626,2674,606,128,255,,,,128=Rest,
Sequencer Step 32 Velocity 3,627,2675,607,128,255,,,,128=Rest,
Sequencer Step 33 Velocity 3,628,2676,608,128,255,,,,128=Rest,
Sequencer Step 34 Velocity 3,629,2677,609,128,255,,,,128=Rest,
Sequencer Step 35 Velocity 3,630,2678,610,128,255,,,,128=Rest,
Sequencer Step 36 Velocity 3,631,2679,611,128,255,,,,128=Rest,
Sequencer Step 37 Velocity 3,632,2680,612,128,255,,,,128=Rest,
Sequencer Step 38 Velocity 3,633,2681,613,128,255,,,,128=Rest,
Sequencer Step 39 Velocity 3,634,2682,614,128,255,,,,128=Rest,
Sequencer Step 40 Velocity 3,635,2683,615,128,255,,,,128=Rest,
Sequencer Step 41 Velocity 3,636,2684,616,128,255,,,,128=Rest,
Sequencer Step 42 Velocity 3,637,2685,617,128,255,,,,128=Rest,
Sequencer Step 43 Velocity 3,638,2686,618,128,255,,,,128=Rest,
Sequencer Step 44 Velocity 3,639,2687,619,128,255,,,,128=Rest,
Sequencer Step 45 Velocity 3,640,2688,620,128,255,,,,128=Rest,
Sequencer Step 46 Velocity 3,641,2689,621,128,255,,,,128=Rest,
Sequencer Step 47 Velocity 3,642,2690,622,128,255,,,,128=Rest,
Sequencer Step 48 Velocity 3,643,2691,623,128,255,,,,128=Rest,
Sequencer Step 49 Velocity 3,644,2692,624,128,255,,,,128=Rest,
Sequencer Step 50 Velocity 3,645,2693,625,128,255,,,,128=Rest,
Sequencer Step 51 Velocity 3,646,2694,626,128,255,,,,128=Rest,
Sequencer Step 52 Velocity 3,647,2695,627,128,255,,,,128=Rest,
Sequencer Step 53 Velocity 3,648,2696,628,128,255,,,,128=Rest,
Sequencer Step 54 Velocity 3,649,2697,629,128,255,,,,128=Rest,
Sequencer Step 55 Velocity 3,650,2698,630,128,255,,,,128=Rest,
Sequencer Step 56 Velocity 3,651,2699,631,128,255,,,,128=Rest,
Sequencer Step 57 Velocity 3,652,2700,632,128,255,,,,128=Rest,
Sequencer Step 58 Velocity 3,653,2701,633,128,255,,,,128=Rest,
Sequencer Step 59 Velocity 3,654,2702,634,128,255,,,,128=Rest,
Sequencer Step 60 Velocity 3,655,2703,635,128,255,,,,128=Rest,
Sequencer Step 61 Velocity 3,656,2704,636,128,255,,,,128=Rest,
Sequencer Step 62 Velocity 3,657,2705,637,128,255,,,,128=Rest,
Sequencer Step 63 Velocity 3,658,2706,638,128,255,,,,128=Rest,
Sequencer Step 64 Velocity 3,659,2707,639,128,255,,,,128=Rest,
Sequencer Step 1 Note 4,660,2708,640,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 2 Note 4,661,2709,641,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 3 Note 4,662,2710,642,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 4 Note 4,663,2711,643,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 5 Note 4,664,2712,644,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 6 Note 4,665,2713,645,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 7 Note 4,666,2714,646,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 8 Note 4,667,2715,647,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 9 Note 4,668,2716,648,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 10 Note 4,669,2717,649,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 11 Note 4,670,2718,650,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 12 Note 4,671,2719,651,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 13 Note 4,672,2720,652,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 14 Note 4,673,2721,653,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 15 Note 4,674,2722,654,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 16 Note 4,675,2723,655,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 17 Note 4,676,2724,656,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 18 Note 4,677,2725,657,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 19 Note 4,678,2726,658,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 20 Note 4,679,2727,659,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 21 Note 4,680,2728,660,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 22 Note 4,681,2729,661,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 23 Note 4,682,2730,662,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 24 Note 4,683,2731,663,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 25 Note 4,684,2732,664,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 26 Note 4,685,2733,665,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 27 Note 4,686,2734,666,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 28 Note 4,687,2735,667,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 29 Note 4,688,2736,668,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 30 Note 4,689,2737,669,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 31 Note 4,690,2738,670,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 32 Note 4,691,2739,671,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 33 Note 4,692,2740,672,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 34 Note 4,693,2741,673,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 35 Note 4,694,2742,674,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 36 Note 4,695,2743,675,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 37 Note 4,696,2744,676,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 38 Note 4,697,2745,677,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 39 Note 4,698,2746,678,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 40 Note 4,699,2747,679,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 41 Note 4,700,2748,680,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 42 Note 4,701,2749,681,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 43 Note 4,702,2750,682,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 44 Note 4,703,2751,683,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 45 Note 4,704,2752,684,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 46 Note 4,705,2753,685,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 47 Note 4,706,2754,686,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 48 Note 4,707,2755,687,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 49 Note 4,708,2756,688,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 50 Note 4,709,2757,689,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 51 Note 4,710,2758,690,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 52 Note 4,711,2759,691,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 53 Note 4,712,2760,692,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 54 Note 4,713,2761,693,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 55 Note 4,714,2762,694,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 56 Note 4,715,2763,695,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 57 Note 4,716,2764,696,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 58 Note 4,717,2765,697,0,128,,,,"Semitones (C0 - G10), 128=Tie",
Sequencer Step 59 Note 4,718,2766,698,0,128,,,,"Semitones (C0 - G10), 128=Tie",
